algName,condID,nItems,capacity,oracleCalls,obj,cost,nItems,runTime
Distributed_1e-08_1_0.01,0,317080,1.6,206060,9.461334679e-06,1.526315789,1,0.1822959
Greedy_0,0,317080,1.6,102040,6.307556453e-06,1,1,0.0173767
Greedy+Max_0,0,317080,1.6,102040,9.461334679e-06,1.526315789,1,0.0176162
GreedyOrMax_0,0,317080,1.6,102040,9.461334679e-06,1.526315789,1,0.0176517
Greedy_1,0,317080,1.6,102038,9.461334679e-06,1.526315789,1,188.0672845
Sieve_1e-08_1_0.01,0,317080,1.6,102039,0,0,0,0.0179856
Sieve+Max_1e-08_1_0.01,0,317080,1.6,204078,9.461334679e-06,1.526315789,1,0.035472
SieveOrMax_1e-08_1_0.01,0,317080,1.6,204078,9.461334679e-06,1.526315789,1,0.0346653
BranchingMRT_1e-08_1_0.01,0,317080,1.6,204078,9.461334679e-06,1.526315789,1,0.0449074
Distributed_1e-08_1_0.01,1,317080,2.6,480314,1.576889113e-05,2.526315789,2,0.3196334
Greedy_0,1,317080,2.6,288865,1.261511291e-05,2,2,0.0550074
Greedy+Max_0,1,317080,2.6,288865,1.576889113e-05,2.578947368,1,0.0607134
GreedyOrMax_0,1,317080,2.6,288865,1.261511291e-05,2,2,0.055605
-
Sieve_1e-08_1_0.01,1,317080,2.6,186826,0,0,0,0.0309357
Sieve+Max_1e-08_1_0.01,1,317080,2.6,373652,1.576889113e-05,2.578947368,1,0.0644975
SieveOrMax_1e-08_1_0.01,1,317080,2.6,373652,1.576889113e-05,2.578947368,1,0.0639766
BranchingMRT_1e-08_1_0.01,1,317080,2.6,384942476,1.576889113e-05,2.578947368,1,75.4004565
Distributed_1e-08_1_0.01,2,317080,3.6,719800,2.207644758e-05,3.526315789,3,0.4905967
Greedy_0,2,317080,3.6,501233,1.892266936e-05,3,3,0.1106726
Greedy+Max_0,2,317080,3.6,501233,2.207644758e-05,3.526315789,3,0.1562159
GreedyOrMax_0,2,317080,3.6,501233,1.892266936e-05,3,3,0.1372958
-
Sieve_1e-08_1_0.01,2,317080,3.6,212370,0,0,0,0.0387681
Sieve+Max_1e-08_1_0.01,2,317080,3.6,424740,1.892266936e-05,3.105263158,1,0.0808619
SieveOrMax_1e-08_1_0.01,2,317080,3.6,424740,1.892266936e-05,3.105263158,1,0.0747431
BranchingMRT_1e-08_1_0.01,2,317080,3.6,784039723,2.207644758e-05,3.526315789,3,177.0937995
Distributed_1e-08_1_0.01,3,317080,4.6,998327,2.838400404e-05,4.526315789,4,0.7031774
Greedy_0,3,317080,4.6,745682,2.523022581e-05,4,4,0.2212881
Greedy+Max_0,3,317080,4.6,745682,2.838400404e-05,4.578947368,3,0.2286927
GreedyOrMax_0,3,317080,4.6,745682,2.523022581e-05,4,4,0.2396153
-
Sieve_1e-08_1_0.01,3,317080,4.6,244452,0,0,0,0.059185
Sieve+Max_1e-08_1_0.01,3,317080,4.6,488904,2.523022581e-05,4.157894737,1,0.1196863
SieveOrMax_1e-08_1_0.01,3,317080,4.6,488904,2.523022581e-05,4.157894737,1,0.0982091
-
Distributed_1e-08_1_0.01,4,317080,5.6,1282445,3.469156049e-05,5.526315789,5,0.8957583
Greedy_0,4,317080,5.6,1008876,3.153778226e-05,5,5,0.3659999
Greedy+Max_0,4,317080,5.6,1008876,3.469156049e-05,5.578947368,4,0.3493003
GreedyOrMax_0,4,317080,5.6,1008876,3.153778226e-05,5,5,0.3761473
-
Sieve_1e-08_1_0.01,4,317080,5.6,263198,0,0,0,0.0588292
Sieve+Max_1e-08_1_0.01,4,317080,5.6,526396,3.153778226e-05,5.210526316,1,0.117753
SieveOrMax_1e-08_1_0.01,4,317080,5.6,526396,3.153778226e-05,5.210526316,1,0.1309737
-
Distributed_1e-08_1_0.01,5,317080,6.6,1571052,4.099911694e-05,6.526315789,6,1.1607875
Greedy_0,5,317080,6.6,1284068,3.784533872e-05,6,6,0.4979166
Greedy+Max_0,5,317080,6.6,1284068,4.099911694e-05,6.578947368,5,0.4888568
GreedyOrMax_0,5,317080,6.6,1284068,3.784533872e-05,6,6,0.4802939
-
Sieve_1e-08_1_0.01,5,317080,6.6,275197,0,0,0,0.0793637
Sieve+Max_1e-08_1_0.01,5,317080,6.6,550394,3.784533872e-05,6.263157895,1,0.1296653
SieveOrMax_1e-08_1_0.01,5,317080,6.6,550394,3.784533872e-05,6.263157895,1,0.1326599
-
Distributed_1e-08_1_0.01,6,317080,7.6,1864477,4.730667339e-05,7.526315789,7,1.496013
Greedy_0,6,317080,7.6,1567779,4.415289517e-05,7,7,0.7311421
Greedy+Max_0,6,317080,7.6,1567779,4.730667339e-05,7.578947368,6,0.6526376
GreedyOrMax_0,6,317080,7.6,1567779,4.415289517e-05,7,7,0.7047202
-
Sieve_1e-08_1_0.01,6,317080,7.6,283717,0,0,0,0.0757692
Sieve+Max_1e-08_1_0.01,6,317080,7.6,567434,4.415289517e-05,7.315789474,1,0.1431386
SieveOrMax_1e-08_1_0.01,6,317080,7.6,567434,4.415289517e-05,7.315789474,1,0.1563213
-
Distributed_1e-08_1_0.01,7,317080,8.6,2162591,5.361422985e-05,8.526315789,8,1.7888848
Greedy_0,7,317080,8.6,1857758,5.046045162e-05,8,8,0.884769
Greedy+Max_0,7,317080,8.6,1857758,5.361422985e-05,8.578947368,7,0.9128264
GreedyOrMax_0,7,317080,8.6,1857758,5.046045162e-05,8,8,0.9237423
-
Sieve_1e-08_1_0.01,7,317080,8.6,289986,0,0,0,0.0764204
Sieve+Max_1e-08_1_0.01,7,317080,8.6,579972,5.046045162e-05,8.368421053,1,0.1529209
SieveOrMax_1e-08_1_0.01,7,317080,8.6,579972,5.046045162e-05,8.368421053,1,0.1631566
-
Distributed_1e-08_1_0.01,8,317080,9.6,2462690,5.99217863e-05,9.526315789,9,2.2830974
Greedy_0,8,317080,9.6,2152455,5.676800807e-05,9,9,1.7139035
Greedy+Max_0,8,317080,9.6,2152455,5.99217863e-05,9.578947368,8,1.4976557
GreedyOrMax_0,8,317080,9.6,2152455,5.676800807e-05,9,9,1.1805248
-
Sieve_1e-08_1_0.01,8,317080,9.6,294705,0,0,0,0.0869858
Sieve+Max_1e-08_1_0.01,8,317080,9.6,589410,5.676800807e-05,9.421052632,1,0.1635217
SieveOrMax_1e-08_1_0.01,8,317080,9.6,589410,5.676800807e-05,9.421052632,1,0.1794306
-
