algName,condID,nItems,capacity,oracleCalls,obj,cost,nItems,runTime
Distributed_1e-08_1_0.01,0,4039,1.6,450,0.0007427581084,1.526315789,1,0.0010114
Greedy_0,0,4039,1.6,174,0.0004951720723,1,1,4.37e-05
Greedy+Max_0,0,4039,1.6,174,0.0007427581084,1.526315789,1,3.85e-05
GreedyOrMax_0,0,4039,1.6,174,0.0007427581084,1.526315789,1,3.86e-05
Greedy_1,0,4039,1.6,172,0.0007427581084,1.526315789,1,0.0069595
Sieve_1e-08_1_0.01,0,4039,1.6,174,0.0007427581084,1.526315789,1,5.39e-05
Sieve+Max_1e-08_1_0.01,0,4039,1.6,347,0.0007427581084,1.526315789,1,7.07e-05
SieveOrMax_1e-08_1_0.01,0,4039,1.6,347,0.0007427581084,1.526315789,1,6.55e-05
BranchingMRT_1e-08_1_0.01,0,4039,1.6,346,0.0007427581084,1.526315789,1,0.0001186
Distributed_1e-08_1_0.01,1,4039,2.6,1189,0.0009903441446,2,2,0.0011494
Greedy_0,1,4039,2.6,538,0.0009903441446,2,2,0.0002191
Greedy+Max_0,1,4039,2.6,538,0.001237930181,2.578947368,1,0.0001982
GreedyOrMax_0,1,4039,2.6,538,0.0009903441446,2,2,0.0001083
Greedy_1,1,4039,2.6,20614,0.001237930181,2.526315789,2,0.0139162
Sieve_1e-08_1_0.01,1,4039,2.6,369,0.001237930181,2.526315789,2,9.29e-05
Sieve+Max_1e-08_1_0.01,1,4039,2.6,734,0.001237930181,2.526315789,2,0.0001561
SieveOrMax_1e-08_1_0.01,1,4039,2.6,734,0.001237930181,2.526315789,2,0.0001376
BranchingMRT_1e-08_1_0.01,1,4039,2.6,1129460,0.001237930181,2.578947368,1,0.2242111
Distributed_1e-08_1_0.01,2,4039,3.6,1886,0.001733102253,3.526315789,3,0.0015712
Greedy_0,2,4039,3.6,994,0.001485516217,3,3,0.0002276
Greedy+Max_0,2,4039,3.6,994,0.001733102253,3.526315789,3,0.0002271
GreedyOrMax_0,2,4039,3.6,994,0.001485516217,3,3,0.000252
Greedy_1,2,4039,3.6,97318,0.001733102253,3.526315789,3,0.0366933
Sieve_1e-08_1_0.01,2,4039,3.6,472,0.001733102253,3.526315789,3,0.0001271
Sieve+Max_1e-08_1_0.01,2,4039,3.6,930,0.001733102253,3.526315789,3,0.0002381
SieveOrMax_1e-08_1_0.01,2,4039,3.6,930,0.001733102253,3.526315789,3,0.0001959
BranchingMRT_1e-08_1_0.01,2,4039,3.6,2362014,0.001485516217,3,3,0.512069
Distributed_1e-08_1_0.01,3,4039,4.6,2913,0.002228274325,4.526315789,4,0.001983
Greedy_0,3,4039,4.6,1645,0.001980688289,4,4,0.0004708
Greedy+Max_0,3,4039,4.6,1645,0.002228274325,4.578947368,3,0.0004691
GreedyOrMax_0,3,4039,4.6,1645,0.001980688289,4,4,0.0004712
Greedy_1,3,4039,4.6,215670,0.002228274325,4.526315789,4,0.0869396
Sieve_1e-08_1_0.01,3,4039,4.6,666,0.001980688289,4.052631579,3,0.000189
Sieve+Max_1e-08_1_0.01,3,4039,4.6,1320,0.002228274325,4.578947368,3,0.0004137
SieveOrMax_1e-08_1_0.01,3,4039,4.6,1320,0.001980688289,4.052631579,3,0.0003408
BranchingMRT_1e-08_1_0.01,3,4039,4.6,4530652,0.002228274325,4.526315789,4,1.1132044
Distributed_1e-08_1_0.01,4,4039,5.6,4214,0.002475860361,5,5,0.0026754
Greedy_0,4,4039,5.6,2506,0.002475860361,5,5,0.0008618
Greedy+Max_0,4,4039,5.6,2506,0.002723446398,5.578947368,4,0.0008524
