algName,condID,nItems,capacity,oracleCalls,obj,cost,nItems,runTime
Distributed_1e-08_1_0.01,0,27278,1,34483,0.9998323321,1,1,0.4471278
Greedy_0,0,27278,1,11310,0.9998325306,1,1,0.0431679
Greedy+Max_0,0,27278,1,11310,0.9998325306,1,1,0.0482866
GreedyOrMax_0,0,27278,1,11310,0.9998325306,1,1,0.0453066
Greedy_1,0,27278,1,11308,0.9998323321,1,1,148.2041665
Sieve_1e-08_1_0.01,0,27278,1,14907,0.9991221428,1,1,0.0937402
Sieve+Max_1e-08_1_0.01,0,27278,1,26216,0.9998323321,1,1,0.1124802
SieveOrMax_1e-08_1_0.01,0,27278,1,26216,0.9998323321,1,1,0.1319104
BranchingMRT_1e-08_1_0.01,0,27278,1,85978,0.9998323321,1,1,0.8311126
Distributed_1e-08_1_0.01,1,27278,2,39939,1.455934405,1.911868811,1,0.7795555
Greedy_0,1,27278,2,13021,1.00009676,1.000193521,1,0.0886695
Greedy+Max_0,1,27278,2,13021,1.499416274,1.998832548,1,0.095083
GreedyOrMax_0,1,27278,2,13021,1.00009676,1.000193521,1,0.0869946
-
Sieve_1e-08_1_0.01,1,27278,2,13433,1.006991982,1.013983965,1,0.1132293
Sieve+Max_1e-08_1_0.01,1,27278,2,26453,1.499416113,1.998832226,1,0.1509218
SieveOrMax_1e-08_1_0.01,1,27278,2,26453,1.499416113,1.998832226,1,0.1763351
BranchingMRT_1e-08_1_0.01,1,27278,2,21818604,1.499416113,1.998832226,1,14.1208597
Distributed_1e-08_1_0.01,2,27278,3,83625,2.154708429,2.816749811,2,1.4455504
Greedy_0,2,27278,3,27162,1.930985758,2.000193521,2,0.1478362
Greedy+Max_0,2,27278,3,27162,2.359047651,2.996727391,2,0.1478441
GreedyOrMax_0,2,27278,3,27162,1.930985758,2.000193521,2,0.1654229
-
Sieve_1e-08_1_0.01,2,27278,3,44840,1.980157256,2.036640644,2,0.2155589
Sieve+Max_1e-08_1_0.01,2,27278,3,58982,2.397559643,2.906933546,2,0.2503281
SieveOrMax_1e-08_1_0.01,2,27278,3,58982,1.999948144,2.999896288,1,0.263972
BranchingMRT_1e-08_1_0.01,2,27278,3,46570318,1.999948144,2.999896288,1,34.8853766
Distributed_1e-08_1_0.01,3,27278,4,130150,2.910555397,3.09668684,3,0.9307348
Greedy_0,3,27278,4,42088,2.910555397,3.096687003,3,0.1058404
Greedy+Max_0,3,27278,4,42088,3.28543556,3.9222254,3,0.1022965
GreedyOrMax_0,3,27278,4,42088,2.910555397,3.096687003,3,0.1122082
-
Sieve_1e-08_1_0.01,3,27278,4,77569,2.871953249,3.036640644,3,0.1542833
Sieve+Max_1e-08_1_0.01,3,27278,4,92498,3.189592838,3.91531539,3,0.1619471
SieveOrMax_1e-08_1_0.01,3,27278,4,92498,2.871953249,3.036640644,3,0.1649213
BranchingMRT_1e-08_1_0.01,3,27278,4,75218305,2.499678135,3.99935627,1,19.3783717
Distributed_1e-08_1_0.01,4,27278,5,193179,3.679949224,4.37471962,4,1.3502814
Greedy_0,4,27278,5,57488,3.760688198,4.279592916,4,0.1332407
Greedy+Max_0,4,27278,5,57488,3.938874262,4.954348727,4,0.1468764
GreedyOrMax_0,4,27278,5,57488,3.760688198,4.279592916,4,0.1238821
-
Sieve_1e-08_1_0.01,4,27278,5,107830,3.670355748,4.076670885,4,0.2147236
Sieve+Max_1e-08_1_0.01,4,27278,5,123359,3.926123857,4.928073883,4,0.2323859
SieveOrMax_1e-08_1_0.01,4,27278,5,123359,3.670355748,4.076670885,4,0.2267891
BranchingMRT_1e-08_1_0.01,4,27278,5,105759208,2.999455929,4.998911858,1,35.5503035
Distributed_1e-08_1_0.01,5,27278,6,228210,4.680718437,5.649286032,5,1.7866653
Greedy_0,5,27278,6,73216,4.680718437,5.649286195,5,0.1965942
Greedy+Max_0,5,27278,6,73216,4.680718437,5.649286195,5,0.1828614
GreedyOrMax_0,5,27278,6,73216,4.680718437,5.649286195,5,0.1776572
-
Sieve_1e-08_1_0.01,5,27278,6,137533,4.358342313,5.076670885,5,0.2927958
Sieve+Max_1e-08_1_0.01,5,27278,6,153604,4.629050732,5.802005291,5,0.3248089
SieveOrMax_1e-08_1_0.01,5,27278,6,153604,4.358342313,5.076670885,5,0.3082286
BranchingMRT_1e-08_1_0.01,5,27278,6,138706717,3.499684572,5.999369144,1,50.0539886
Distributed_1e-08_1_0.01,6,27278,7,278100,5.344579929,6.831011057,6,3.598254
Greedy_0,6,27278,7,88902,5.344579929,6.83101122,6,0.3514218
Greedy+Max_0,6,27278,7,88902,5.344579929,6.83101122,6,0.3447518
GreedyOrMax_0,6,27278,7,88902,5.344579929,6.83101122,6,0.3452717
-
Sieve_1e-08_1_0.01,6,27278,7,172482,4.896944046,6.076670885,6,0.681856
Sieve+Max_1e-08_1_0.01,6,27278,7,189027,5.148164749,6.998702765,6,0.7184199
SieveOrMax_1e-08_1_0.01,6,27278,7,189027,4.896944046,6.076670885,6,0.7829958
BranchingMRT_1e-08_1_0.01,6,27278,7,173884589,3.996320724,6.992641449,1,69.1918364
Distributed_1e-08_1_0.01,7,27278,8,330305,5.830576029,7.736256599,7,2.8365197
Greedy_0,7,27278,8,104926,5.791923368,7.83101122,7,0.2651211
Greedy+Max_0,7,27278,8,104926,5.820166621,7.946491643,7,0.2376131
GreedyOrMax_0,7,27278,8,104926,5.791923368,7.83101122,7,0.3709073
-
Sieve_1e-08_1_0.01,7,27278,8,198863,5.615931708,7.438207865,7,0.4565819
Sieve+Max_1e-08_1_0.01,7,27278,8,215866,5.618897438,7.830358505,7,0.4357524
SieveOrMax_1e-08_1_0.01,7,27278,8,215866,5.615931708,7.438207865,7,0.4401924
BranchingMRT_1e-08_1_0.01,7,27278,8,210285182,4.499704838,7.999409676,1,67.6488392
Distributed_1e-08_1_0.01,8,27278,9,345621,5.964889535,8.196103334,7,2.4875555
Greedy_0,8,27278,9,109965,5.964889535,8.196103498,7,0.2572407
Greedy+Max_0,8,27278,9,109965,6.050511646,8.674192353,7,0.2531737
GreedyOrMax_0,8,27278,9,109965,5.964889535,8.196103498,7,0.2559408
-
Sieve_1e-08_1_0.01,8,27278,9,235687,6.23537159,8.807901144,8,0.5028032
Sieve+Max_1e-08_1_0.01,8,27278,9,253085,6.23537159,8.807901144,8,0.4857273
SieveOrMax_1e-08_1_0.01,8,27278,9,253085,6.23537159,8.807901144,8,0.4979292
BranchingMRT_1e-08_1_0.01,8,27278,9,249081168,4.999968529,8.999937057,1,84.1056208
Distributed_1e-08_1_0.01,9,27278,10,401664,6.478483778,9.028657436,8,2.8787395
Greedy_0,9,27278,10,126733,6.438462111,9.299568339,8,0.349947
Greedy+Max_0,9,27278,10,126733,6.558280885,9.859569474,8,0.3107972
GreedyOrMax_0,9,27278,10,126733,6.438462111,9.299568339,8,0.290047
-
Sieve_1e-08_1_0.01,9,27278,10,246050,6.786084175,9.901170969,8,0.5946941
Sieve+Max_1e-08_1_0.01,9,27278,10,263812,6.786084175,9.901170969,8,0.6267218
SieveOrMax_1e-08_1_0.01,9,27278,10,263812,6.786084175,9.901170969,8,0.636
BranchingMRT_1e-08_1_0.01,9,27278,10,288639394,5.499027252,9.998054504,1,94.8948254
